Key,CreationDate,ResolutionDate,OpeningVersionIndex,OpeningVersionName,FixedVersionIndex,FixedVersionName,InjectedVersionIndex,InjectedVersionName,AffectedVersionIndices,AffectedVersionNames,NumAssociatedCommits
STORM-3217,2018-09-10,2018-09-13,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,5
STORM-3223,2018-09-13,2018-09-14,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3225,2018-09-14,2018-09-17,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3224,2018-09-13,2018-09-17,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3162,2018-07-27,2018-09-17,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3228,2018-09-17,2018-09-18,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,5
STORM-3230,2018-09-19,2018-09-20,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,5
STORM-1492,2016-01-22,2018-09-21,9,1.0.0,26,2.0.0,9,1.0.0,9,1.0.0,4
STORM-3236,2018-09-26,2018-09-28,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3235,2018-09-26,2018-09-28,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3237,2018-09-27,2018-10-01,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3241,2018-10-01,2018-10-03,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3240,2018-10-01,2018-10-03,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,6
STORM-3239,2018-09-30,2018-10-03,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3238,2018-09-30,2018-10-04,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3246,2018-10-04,2018-10-05,26,2.0.0,26,2.0.0,26,2.0.0,,,1
STORM-3245,2018-10-04,2018-10-05,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3244,2018-10-03,2018-10-05,26,2.0.0,26,2.0.0,26,2.0.0,,,4
STORM-3247,2018-10-05,2018-10-08,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3248,2018-10-08,2018-10-09,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3249,2018-10-08,2018-10-11,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3252,2018-10-11,2018-10-12,26,2.0.0,26,2.0.0,25,1.2.2,25,1.2.2,4
STORM-3251,2018-10-11,2018-10-12,26,2.0.0,26,2.0.0,26,2.0.0,,,3
STORM-3255,2018-10-12,2018-10-15,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3254,2018-10-12,2018-10-15,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3262,2018-10-18,2018-10-22,26,2.0.0,26,2.0.0,26,2.0.0,,,4
